id_candidato,nombre,id_partido
445,ANIBAL IBARRA,23
422,RAMIRO VASENA,80
448,MARIA GRACIELA OCAÑA,16
640,HORACIO ANTONIO RODRIGUEZ LARRETA,18
687,GUSTAVO LOPEZ,23
863,MANUELA CASTAÑEIRA,82
943,GABRIELA CERRUTI,23
1077,GABRIELA MICHETTI,18
1334,SERGIO GARCIA,21
1335,"""MARU"" LOPES",21
1333,"HECTOR ""CACHO"" BIDONDE",21
1402,LEONARDO RUBEN FABRE,20
1690,VICTOR JORGE RAMOS,23
3236,LUIS FERNANDO ZAMORA,81
1794,HUMBERTO MIGUEL TUMINI,25
1881,ANDRES BORTHAGARAY,16
2012,MARTIN LOUSTEAU,16
2058,CARLOS HELLER,23
2071,CLAUDIO RAUL LOZANO,22
2312,ENRIQUE ADALBERTO PIRAGINI,19
2346,GUSTAVO JAVIER VERA,20
2474,GUSTAVO TENAGLIA,61
2616,PABLO RICARDO FERREYRA,26
2729,MYRIAM BREGMAN,17
2764,SERGIO ABREVAYA,25
3277,MARTIN TORRES,21
4228,IVO CUTZARIDA,35
4238,GUILLERMO EMILIO NIELSEN,24
4440,MARIANO RECALDE,23
4636,CARLOS GUSTAVO OVIEDO,23
