id_partido,descripcion,nro_partido,especial
21,MST - Nueva Izquierda,705,0
23,Frente para la Victoria,707,0
16,Energía Ciudadana Organizada - ECO,700,0
82,Movimiento al Socialismo - MAS,13,0
22,Alianza Camino Popular,706,0
61,Partido Humanista,22,0
20,Movimiento para el Bien Común,704,0
24,Frente por Buenos Aires,708,0
18,Union PRO,702,0
80,Bandera Vecinal,327,0
81,Autodeterminación y Libertad,187,0
35,Es Posible,63,0
17,Frente de Izq. y los Trabajadores,701,0
19,Alianza Movimiento Federal,703,0
26,Alianza Alternativa Bs. As. - ALBA,710,0
25,Frente SURGEN,709,0
BLC,Votos en BLANCO,995,1
NUL,Votos NULOS,996,1
REC,Votos RECURRIDOS,997,1
IMP,Votos de Identidad Impugnada,998,1
